review_text,rating,label,text_length,word_count,avg_word_length,uppercase_ratio,exclamation_count,question_count,processed_text
It's alright. Took some time to figure out how to use it properly. Comment 299.,5,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 473.",5,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 411.,4,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 372.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 189.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 405.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 440.,5,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 218.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 451.,5,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Not bad for the price. Quality could be better but it serves its purpose. Comment 131.,2,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 311.,5,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 175.,5,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Not bad for the price. Quality could be better but it serves its purpose. Comment 144.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
It's alright. Took some time to figure out how to use it properly. Comment 225.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 212.,5,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 398.,4,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 241.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Not bad for the price. Quality could be better but it serves its purpose. Comment 161.,5,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 126.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 87.,5,CG,95,14,6.785714285714286,0.042105263157894736,1,0,excellent quality fast shipping satisfied purchase great value review
It's alright. Took some time to figure out how to use it properly. Comment 370.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 359.,4,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
It's alright. Took some time to figure out how to use it properly. Comment 69.,2,OR,78,15,5.2,0.038461538461538464,0,0,alright took time figure use properly comment
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 481.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 291.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 459.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 296.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 294.",4,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
It's alright. Took some time to figure out how to use it properly. Comment 145.,5,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 137.,4,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 337.,5,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 25.,3,OR,89,16,5.5625,0.033707865168539325,0,0,pretty good overall minor issue setup work fine comment
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 249.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 414.,4,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Not bad for the price. Quality could be better but it serves its purpose. Comment 417.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 401.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 72.,5,CG,90,13,6.923076923076923,0.044444444444444446,1,0,fantastic product great feature shipping quick happy customer review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 485.,4,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 126.,2,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 464.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
It's alright. Took some time to figure out how to use it properly. Comment 273.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 463.,4,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 98.,3,OR,89,16,5.5625,0.033707865168539325,0,0,pretty good overall minor issue setup work fine comment
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 341.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Not bad for the price. Quality could be better but it serves its purpose. Comment 439.,5,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 201.",3,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 472.,4,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 406.,5,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 125.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 483.,4,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 63.",4,OR,88,16,5.5,0.03409090909090909,0,0,okay say nothing special arrived bit late though comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 290.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Not bad for the price. Quality could be better but it serves its purpose. Comment 250.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 164.",3,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 420.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 11.,2,OR,89,16,5.5625,0.0449438202247191,0,0,work expected best ive seen decent enough everyday use comment
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 285.,4,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 187.,5,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 22.,5,CG,94,13,7.230769230769231,0.05319148936170213,2,0,outstanding item superior quality performance highly recommended must buy review
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 255.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 76.,5,CG,90,13,6.923076923076923,0.044444444444444446,1,0,fantastic product great feature shipping quick happy customer review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 384.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 18.",4,OR,88,16,5.5,0.03409090909090909,0,0,okay say nothing special arrived bit late though comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 21.,4,CG,90,13,6.923076923076923,0.044444444444444446,1,0,fantastic product great feature shipping quick happy customer review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 340.,5,CG,97,14,6.928571428571429,0.05154639175257732,4,0,product absolutely amazing best purchase ever highly recommend five star review
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 158.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 24.,5,OR,85,16,5.3125,0.03529411764705882,0,0,bad price quality could better serf purpose comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 287.,5,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 153.,4,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 237.,4,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 265.,4,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 218.,2,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
It's alright. Took some time to figure out how to use it properly. Comment 84.,3,OR,78,15,5.2,0.038461538461538464,0,0,alright took time figure use properly comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 190.,4,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 173.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 25.,5,CG,95,14,6.785714285714286,0.05263157894736842,2,0,perfect product exceeded expectation definitely buy thank review
It's alright. Took some time to figure out how to use it properly. Comment 67.,3,OR,78,15,5.2,0.038461538461538464,0,0,alright took time figure use properly comment
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 367.,3,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 484.",4,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 18.,5,CG,95,14,6.785714285714286,0.042105263157894736,1,0,excellent quality fast shipping satisfied purchase great value review
Not bad for the price. Quality could be better but it serves its purpose. Comment 113.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 270.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 475.,3,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 471.,4,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 435.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
It's alright. Took some time to figure out how to use it properly. Comment 474.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 41.,2,OR,89,16,5.5625,0.0449438202247191,0,0,work expected best ive seen decent enough everyday use comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 70.,5,CG,90,13,6.923076923076923,0.044444444444444446,1,0,fantastic product great feature shipping quick happy customer review
This product is absolutely amazing! Best purchase ever! Highly recommend! Five stars! Review 13.,5,CG,96,14,6.857142857142857,0.052083333333333336,4,0,product absolutely amazing best purchase ever highly recommend five star review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 94.,5,CG,90,13,6.923076923076923,0.044444444444444446,1,0,fantastic product great feature shipping quick happy customer review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 17.",2,OR,88,16,5.5,0.03409090909090909,0,0,okay say nothing special arrived bit late though comment
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 193.,5,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
It's alright. Took some time to figure out how to use it properly. Comment 333.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 390.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 56.,2,OR,85,16,5.3125,0.03529411764705882,0,0,bad price quality could better serf purpose comment
It's alright. Took some time to figure out how to use it properly. Comment 286.,4,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 493.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
Fantastic product with great features. Shipping was quick. Very happy customer! Review 139.,4,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 46.,5,CG,95,14,6.785714285714286,0.042105263157894736,1,0,excellent quality fast shipping satisfied purchase great value review
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 486.,4,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 190.",3,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 4.,5,CG,89,13,6.846153846153846,0.0449438202247191,1,0,fantastic product great feature shipping quick happy customer review
Not bad for the price. Quality could be better but it serves its purpose. Comment 452.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Outstanding item! Superior quality and performance. Highly recommended. A must buy! Review 136.,5,CG,95,13,7.3076923076923075,0.05263157894736842,2,0,outstanding item superior quality performance highly recommended must buy review
It's alright. Took some time to figure out how to use it properly. Comment 431.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 160.,3,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 3.,5,CG,89,13,6.846153846153846,0.0449438202247191,1,0,fantastic product great feature shipping quick happy customer review
"It's okay, does what it says but nothing special. Arrived a bit late though. Comment 163.",3,OR,89,16,5.5625,0.033707865168539325,0,0,okay say nothing special arrived bit late though comment
Not bad for the price. Quality could be better but it serves its purpose. Comment 423.,2,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 79.,5,CG,95,14,6.785714285714286,0.042105263157894736,1,0,excellent quality fast shipping satisfied purchase great value review
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 368.,4,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
It's alright. Took some time to figure out how to use it properly. Comment 148.,3,OR,79,15,5.266666666666667,0.0379746835443038,0,0,alright took time figure use properly comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 55.,5,CG,95,14,6.785714285714286,0.042105263157894736,1,0,excellent quality fast shipping satisfied purchase great value review
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 278.,5,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 396.,4,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 452.,4,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 469.,4,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Not bad for the price. Quality could be better but it serves its purpose. Comment 188.,4,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Works as expected. Not the best I've seen but decent enough for everyday use. Comment 425.,5,OR,90,16,5.625,0.044444444444444446,0,0,work expected best ive seen decent enough everyday use comment
Fantastic product with great features. Shipping was quick. Very happy customer! Review 354.,5,CG,91,13,7.0,0.04395604395604396,1,0,fantastic product great feature shipping quick happy customer review
Excellent quality and fast shipping. Very satisfied with this purchase. Great value! Review 250.,5,CG,96,14,6.857142857142857,0.041666666666666664,1,0,excellent quality fast shipping satisfied purchase great value review
Not bad for the price. Quality could be better but it serves its purpose. Comment 380.,4,OR,86,16,5.375,0.03488372093023256,0,0,bad price quality could better serf purpose comment
Pretty good overall. Had some minor issues with the setup but works fine now. Comment 442.,3,OR,90,16,5.625,0.03333333333333333,0,0,pretty good overall minor issue setup work fine comment
Perfect product! Exceeded all my expectations. Will definitely buy again. Thank you! Review 410.,5,CG,96,14,6.857142857142857,0.052083333333333336,2,0,perfect product exceeded expectation definitely buy thank review
